industry,function,usecase,paragraph_ID
photoalto / odilon dimier / getty images,what kind of application ? [SEP] © photoalto / odilon dimier / getty images,what is main idea ? [SEP] © photoalto / odilon dimier / getty images,488
data and analytics,data and analytics,the data and analytics revolution,489
opportunities,opportunities,opportunities still uncaptured,490
data and analytics,"boosting productivity , expanding into new markets , and improving decision making","boosting productivity , expanding into new markets , and improving decision making",491
location - based services and in retail,digital native,potential for value creation,492
exhibit,exhibit,exhibit,493
data and analytics,data and analytics,capturing value,494
location,location - based data,location - based data,495
research,end users,revenues for service providers,496
retail1,us retail,us retail,497
productivity,productivity,productivity growth,498
product development,development,up to 50 % lower product development cost up to 25 % lower operating cost up to 30 % gross margin increase,499
eu public sector3,public sector,eu,500
€,productivity,productivity growth,501
us health care,us health care,us health care,502
$,productivity,productivity growth,503
value,value captured,value captured,504
retail,functional,manufacturing levers divided by functional application,505
mc,analysis,expert interviews ; mckinsey global institute analysis,506
es,duplicate,duplicate,507
penetration of gps - enabled,gps - enabled,penetration of gps - enabled,508
smartphones,smartphones,smartphones,509
companies,analytical,lack of analytical talent siloed data,510
it systems,it systems,skeptical of impact,511
different,analytical,lack of analytical talent siloed data,512
agencies,agencies,agencies,513
clinical,clinical,need to demonstrate clinical,514
utility,utility,utility to gain acceptance,515
interoperability and data sharing,data sharing,interoperability and data sharing,516
data and analytics,data and analytics,investing,517
traditional industries,data assets and analytics,high returns are largely driven by only a few successful organizations . early adopters are posting faster growth in operating profits,518
data infrastructure and talent,technology,incorporating data and analytics into a core strategic vision . the next step is developing the right business processes and building capabilities,519
multiple,location - based services,use gps and other data to pinpoint where a person ( or a vehicle or device ) is situated in real time,520
industries and consumers,mobile phone location - based service,mon,521
smartphones,smartphones,benefits these services create,522
marketing,marketing,big data analytics,523
analytics,analytics,analytics,524
research,mobility,networked society,525
june,june,june,526
opportunities,opportunities,opportunities still uncaptured,527
retail sector,retail,potential value captured,528
technology,mobile location - based services,time and fuel savings,529
any industry,geospatial data,generate new insights and improve efficiency,530
retail,analytics,boost,531
retailers,analytics,incentives for adoption,532
"grocery sector has led the way , while smaller retailers specializing in clothing , furnishings , and accessories",real - time information,creating an end - to - end view of their entire value chain,533
"marketing , merchandising , operations , supply - chain management , and new business models",analytics,integrating analytics,534
marketing and sales,"marketing and sales , the biggest emphasis has been on improved cross - selling , including “ next product to buy ” recommendations",improved cross - selling,535
retail,real - time enterprise stories,real - time enterprise stories,536
sap,"insights , sap",insights,537
target,beacon test,target launches beacon test in 50 stores,538
2015,2015,what is main idea ? [SEP],539
manufacturing,manufacturing,potential value captured,540
eu public sector,potential value captured by the eu public sector,potential value captured by the eu public sector,541
operations and supply - chain levers,"making performance more transparent , optimizing staffing levels , improving sourcing , and streamlining shipping and transport",making performance more transparent,542
manufacturing industries have captured only about 20 to 30 percent of the potential value we estimated in our 2011 research — and most of that has gone to a handful of industry - leading companies,analytics,the sector ’ s main barrier seems to be the perception of many companies that the complexity and cost of analytics could outweigh the potential gains,543
"r & d , supply - chain management , production , and after - sales support",data and analytics,realize value,544
"siemens , ge , and schneider electric",servicing offers,designing new facilities,545
"government services more efficient , reducing fraud and errors in transfer payments , and improving tax collection","making government services more efficient , reducing fraud and errors in transfer payments , and improving tax collection","making government services more efficient , reducing fraud and errors in transfer payments , and improving tax collection",546
"tax agencies ) have adopted more pre - filled forms . there is also a movement to improve data sharing across agencies , exemplified in the eu initiative called “ tell it once . ” on a country - specific level , the netherlands has moved most tax and social welfare",online,improve data sharing across agencies,547
fraud and errors in transfer payments,analytics,improve the rate of tax collection,548
opportunities,opportunities,opportunities still uncaptured,549
health - care sector,potential value captured by the us health - care,potential value,550
united kingdom ’ s payment phase segmentation,tax forms,cross - checks between agencies to improve the accuracy of their reviews of tax forms,551
tax,adoption,government adoption,552
us health - care,analytics,"big data analytics could unlock in the us health - care sector . to date , only 10 to 20 percent of this value has been realized . making a major shift in how data is used",553
"clinical operations , accounting and pricing , r & d , new business models , and public health",public health,rapid expansion of electronic medical records,554
accounting and pricing,pricing,transparency in health - care pricing,555
pharmaceutical industry,contract research,reduce the time and cost of clinical trials,556
health information technology,electronic health record systems,adoption of electronic health record systems,557
healthcare,sap hana,unlock value of on - demand patient data,558
sequencing a genome,sequencing a genome,sequencing a genome,559
food and drug administration,label expansion opportunities,finding additional uses for the same drug,560
aggregates and synthesizes clinical records,analytics,aggregates and synthesizes clinical records,561
diagnosis,machine learning to assist in diagnosis and clinical decision making,integrating data and analytics,562
oncology,data analytics,the potential to launch a new era of truly personalized medicine,563
adoption and value capture,data - driven,data - driven way of doing business,564
analytics is a multistep process within an organization the relatively slow pace of progress in many domains,analytics,adopting analytics,565
technology,technology,large technology investments,566
data and analytics be used for ? how will the insights drive value ? how will the value be measured ? the second component is building out the underlying data architecture as well as data collection or generation capabilities . many incumbents struggle with switching from legacy data systems to a more nimble and flexible architecture to store and harness big data ; they may also need to complete the process of fully digitizing transactions and processes in order to collect all the data that could be useful . the third element is acquiring the analytics capabilities needed to derive insights from data,analytics capabilities needed to derive insights from data,acquiring the analytics capabilities needed to derive insights from data,567
national,genome sequencing,genome sequencing,568
opportunities,opportunities,opportunities still uncaptured,569
executives,data,changing,570
exhibit,what kind of application ? [SEP],what is main idea ? [SEP],571
data and analytics,data and analytics,focusing on five elements,572
use cases / sources of value,use cases,use cases / sources of value,573
internal,internal,internal,574
data modeling,data modeling,data modeling,575
process,process redesign,process redesign,576
capability building,capability building,capability building,577
data,data,data,578
ecosystem,ecosystem,ecosystem,579
modeling,modeling,modeling insights,580
workflow integration,workflow integration,workflow integration,581
adoption,adoption,adoption,582
external,external,external,583
he,smart box,smart box,584
tech,tech enablement,tech enablement,585
change management,change management,change management,586
business need and projected impact,articulating the business need and projected impact,articulating the business need and projected impact,587
▪,solution,how the business would use the solution,588
gathering data from internal systems and external sources,analytic,gathering data from internal systems and external sources ▪ appending key ▪ creating an analytic ▪ enhancing data,589
external,external data,external data,590
sandbox,sandbox,sandbox,591
deriving new predictor variables,deriving new predictor variables,deriving new predictor variables,592
linear and nonlinear modeling,applying linear and nonlinear modeling,applying linear and nonlinear modeling to derive new insights,593
codifying and testing,codifying and testing,codifying and testing,594
heuristics,heuristics,informing predictor variables,595
redesigning processes,developing,redesigning processes,596
work,intuitive user interface,intuitive user interface,597
automating,automating,automating,598
workflows,workflows,workflows,599
building frontline and management,building frontline and management capabilities,building frontline and management capabilities,600
managing change and tracking adoption,managing change and tracking adoption with performance indicators,managing change and tracking adoption with performance indicators,601
mckinsey analytics ; mckinsey global institute analysis,analysis,analysis,602
es,duplicate,duplicate,603
"ge , mercedes - benz , ferrari f1 , and union pacific",digital native,"digital native companies have a huge natural advantage in these areas . it is harder for traditional companies to overhaul or change existing systems , but hesitating to get started can leave them vulnerable to being disrupted",604
"strategy , leadership , and talent ; organizational structure and processes ; and technology infrastructure",data and analytics,identifying the most critical internal barriers for organizations,605
exhibit,exhibit,exhibit,606
"strategic , leadership , and organizational",data and analytics,use data and analytics effectively,607
data and analytics,data and analytics,pursuit of its data and analytics objectives,608
high,high,high,609
moderate,moderate,moderate,610
low,low,what is main idea ? [SEP],611
barriers,barriers,barriers,612
constructing a strategy,constructing a strategy,constructing a strategy,613
"strategy , leadership , and talent",strategy,strategy,614
structure and processes,organi - zational structure and processes,organi - zational structure and processes,615
senior management,ensuring senior management involvement,ensuring senior management involvement,616
functional and technical,securing internal leadership for data and analytics projects attracting and / or retaining appropriate talent ( both functional and technical,securing internal leadership for data and analytics projects,617
it,infra - structure,infra - structure,618
investing,investing,investing,619
data architecture and technology infrastructure,data,designing effective data architecture and technology infrastructure,620
mc,analysis,analysis,621
high,high,high,622
[SEP],what kind of application ? [SEP],what is main idea ? [SEP],623
man,man,man,624
[SEP],ing,ing,625
public sector,public sector,public sector,626
tech and telecom,tech and telecom retail,tech and telecom retail,627
health care,health care,health care,628
data and analytics,analytics,the need to lead in data and analytics,629
opportunities,opportunities,opportunities still uncaptured,630
data and analytics,analytics,setting the right vision and strategy for data and analytics use,631
data scientists and engineers,business translators,execute the leadership vision,632
firms in other industries have struggled to move on from legacy systems that trap data in silos,analytics,"a company ’ s it infrastructure is the backbone through which it can access its data , integrate new data , and perform relevant analyses",633
tracking the business impact and making existing processes flexible enough to respond to new data - driven insights,analytics,designing the right organizational structure to support it,634
data and analytics,"data engineers who scale data solutions and build products ; the data scientists who analyze data with increasingly sophisticated techniques to develop insights ; and “ business translators ” who have both technical and domain - or function - specific business knowledge , enabling them to turn analytical insights into profit and loss impact . in addition to these four categories , data visualization","realizing the full potential of data and analytics . there are four broad types of roles to consider : the data architects who design data systems and related processes ; the data engineers who scale data solutions and build products ; the data scientists who analyze data with increasingly sophisticated techniques to develop insights ; and “ business translators ” who have both technical and domain - or function - specific business knowledge , enabling them to turn analytical insights into profit and loss impact . in addition to these four categories , data visualization is an important skill set , vital to the last - mile challenge of discovering value",635
statistical analysis and data mining,statistical analysis and data mining,the demand for data scientists in the united states alone could far exceed the availability of workers with these valuable skills,636
business uses and developing more practical firm - specific insights and applications,practical firm - specific,working closer to business uses,637
data scientists,ai,enabled google to reduce the cooling costs for its vast data centers,638
data and analytics,analytics,responding to the growing demand for analytics talent,639
tech,tech candidates search for jobs,beyond the talent shortage : how tech candidates search for jobs,640
america,"america - lst _ kq0 , 20 . htm",what is main idea ? [SEP],641
linkedin,skills,“ the 25 skills that can get you hired in 2016,642
google,artificial intelligence,artificial intelligence,643
tech,tech,tech,644
computer,computer,how the computer beat the go master,645
artificial intelligence,artificial intelligence,advancing artificial intelligence,646
google,deepmind - for - google,deepmind - for - google,647
opportunities,opportunities,opportunities still uncaptured,648
"data analytics or data science , and business analytics",massive open online courses,"launching programs specifically targeted to data analytics or data science , and business analytics",649
cleaning and structuring data,data tools,the possibility that some part of the activities performed by data scientists may become automated,650
exhibit,exhibit,exhibit,651
data scientists,high - case,trained data scientists would not be sufficient to meet demand,652
supply and demand of data scientists,data,supply and demand,653
high,high,high,654
low,low,what is main idea ? [SEP],655
new,new graduates,new graduates,656
202,demand,demand,657
occupation,job,job market is in equilibrium and supply equals demand,658
data scientists,data scientists,removing,659
355 occupations,occupations,355 occupations,660
2,2 . 1 % from current supply,2 . 1 % from current supply,661
professional services,professional services,professional,662
consulting companies,consulting,consulting,663
numbers may not sum due to rounding .,numbers may not sum due to rounding,numbers may not sum due to rounding,664
burning glass,analysis,burning glass,665
data,analytical,develop analytical talent,666
business,business translators,business translators,667
"government agencies , universities , companies , and non - profits",big,"creation of a big data ecosystem that features collaboration among government agencies , universities , companies , and non - profits",668
data scientists,practical,converting,669
stem and business,training programs,we estimate there will be demand for approximately two million to four million business translators over the next decade,670
data scientist or business translator,visualization,visualization is an important step in turning data into insight and value,671
"real - time and near - real - time data are becoming more prevalent , and organizations and teams need dynamic dashboards rather than reports . third , data is increasingly required for decision making through all parts of an organization , and good visualization supports that goal , bringing the information to life in a way that can be understood by those who are new to analytics . new software enables users to make clear and intuitive visualizations from simpler data . but more complex dashboards and data - driven products",analytics,good,672
analytics,analytics,the talent dividend,673
data - oriented companies,data - oriented,competitive advantage,674
any,search,using the burning glass job postings database,675
"data visualization , tableau , qlikview , and spotfire",data visualization,data visualization,676
opportunities,opportunities,opportunities still uncaptured,677
health care and the public sector,data aggregators,monetize information,678
"health care , where patient information is not always accessible across different emr systems , and in manufacturing","manufacturing , where various plants and suppliers cannot always seamlessly share information . this is a critical enabler : previous mgi research found that 40 percent of all the potential value associated with the internet of things",lack of interoperability,679
providers and pharmaceutical companies,health care,greater data sharing with payers . perhaps the largest hurdle in data access is the need for new data sources to rapidly demonstrate their profit - making potential,680
health care,analytics,"privacy , cybersecurity , and liability . all of these can discourage the use of analytics",681
data,data and analytics,monetize data and add value,682
innovation and performance,open data,unlocking innovation and performance,683
october,october,october,684
shoppers,internet of things,mapping the value beyond the hype,685
july,2013,what is main idea ? [SEP],686
dave and les jacobs / getty images,what kind of application ? [SEP],getty images,687
opportunities,opportunities,opportunities still uncaptured,688
mapping value in data ecosystems,mapping,mapping value in data ecosystems,689
"operating physical systems , processing transactions , sending communications , and movement",social media platforms,it is difficult to actually avoid generating data,690
immediate or potential,launching a new product line or making a scientific breakthrough,it could be a key driver of growth in the future,691
raw data and actual application of data - derived insights,data - derived insights,to use data to grow and improve performance,692
data generation,high - value uses,"as data become easier to collect and as storage costs go down , many types of data will become increasingly commoditized",693
aggregating information from different sources is critical when a large volume of data is needed or when combining complementary data can lead to new insights,aggregation services,"aggregating information from different sources is critical when a large volume of data is needed or when combining complementary data can lead to new insights . but new tools are allowing end - users to perform this function themselves . over the longer term , we believe aggregation services will become more valuable",694
"idea - and knowledge - intensive arenas , including analytical software and algorithms",analytical software and algorithms,analytical software and algorithms,695
corporate profits,global competition for corporate profits,playing to win : the new global competition for corporate profits,696
"business leaders want to know how to measure and value the information they hold . many are asking how much they could earn by selling data to others . but the value of data depends on how they will be used and who will use them . the same piece of data could have different value for different users , depending on their respective economics","selling data to others . but the value of data depends on how they will be used and who will use them . the same piece of data could have different value for different users , depending on their respective economics",business leaders want to know how to measure and value the information they hold,697
knowledge and intellectual property,loyalty,"non - rivalrous nature — that is , the same piece of data can be used by more than one party simultaneously",698
"web , social media , industrial sensors , payment systems , cameras , wearable devices , and human entry",web,how the data are generated and therefore affect their supply,699
