,industry,function,usecase,paragraph_id,sentence,usecase_indication
1852,pharmaceuticals,machine learning,machine learning,1852,highest ranked use cases based on survey responses ,1.0151443
1825,technical,technical,technical,1825,highest ranked use cases based on survey responses ,1.0151443
1384,"legal , medical , and executive",legal,administrative assistants,1384,natural language generation ,1.0145764
386,performing administrative activities,administrative,performing administrative activities,386,natural language generation ,1.0145764
544,"r & d , supply - chain management , production , and after - sales support",data and analytics,realize value,544, jacques bughin ten lessons learned from big data analytics journal of applied marketing ,1.0128095
1518,product development,product development,product development,1518,in store behavior ,1.012338
1454,- 28,what kind of application ? [SEP],what is main idea ? [SEP],1454,customer service representatives ,1.0122017
418,"digital platforms , wireless sensors , virtual reality applications , and billions of mobile phones",virtual reality,the,418,customer service representatives ,1.0122017
1351,"communicating with supervisors , peers , or subordinates",communicating,"communicating with supervisors , peers , or subordinates interpreting the meaning of information for others",1351,food and beverage service workers ,1.0108724
770,automakers and others,insurance,indirect monetization in the form of internal improvements or value - added services,770,future trajectory of value ,1.0100529
673,analytics,analytics,the talent dividend,673,supply and demand of data scientists in the united thousand ,1.0088573
748,proxies,proxies,growth in available proxies,748,data aggregation ,1.0082047
103,product development,development,up to 50 % lower product development cost up to 25 % lower operating cost up to 30 % gross margin increase,103, increase in net margin annual productivity growth ,1.0081935
520,multiple,location - based services,use gps and other data to pinpoint where a person ( or a vehicle or device ) is situated in real time,520, increase in net margin annual productivity growth ,1.0081935
1350,updating and using relevant knowledge,updating and using relevant knowledge,updating and using relevant knowledge,1350,retail salespeople ,1.0076797
1642,e,what kind of application ? [SEP],what is main idea ? [SEP],1642, reduced pollution from parking public benefit based on the time and fuel savings implied by the previous two levers we estimate the carbon dioxide emissions from parking searches ,1.0062656
13,analytics,data,competing in a data - driven world,13,competing in a data driven world ,1.003362
0,analytics,data,competing in a data - driven world,0,competing in a data driven world ,1.0033619
61,health care,health care,health care,61,competing in a data driven world,1.0033619
204,"inefficient matching , information asymmetries , and human biases and errors",data - driven models and capabilities are reshaping some industries — and could soon transform many more certain characteristics of a given market,the introduction of new data is a key enabler,204, large value in combining data from ,1.0011423
825,every industry,businesses in every industry as well as in many areas of society and daily life,"the ability to enhance , support , and even automate human decision making by drawing on vast amounts of data and evidence . technology now presents the opportunity to remove human limitations from many situations and to make faster , more accurate , more consistent , and more transparent decisions",825, large value in combining data from ,1.0011423
347,[SEP],executive,executive,347,volume breadth and frequency of data ,0.9982784
1293,activities,activities,activities,1293,volume breadth and frequency of data ,0.9982784
1565,improve overall wellness through tailored programs,tailored programs,improve overall wellness,1565,reduction in fraud and error ,0.99810183
746,use or implementation,use or implementation,use or implementation clarifies value,746,data generation and collection ,0.99695116
1553,developed and developing regions,applying the time value for developed and developing regions,applying the time value for developed and developing regions yields the total value at stake,1553, clinical decision support tools transparency about medical data ,0.9960698
178,data preparation,data preparation,our high - case scenario projects even greater ( 12 percent ) annual growth in demand,178,tend to be companies with business models predicated on data and analytics such as uber lyft didi chuxing palantir flipkart airbnb dji snapchat pinterest blablacar and spotify ,0.99531424
1152,algorithms and processing power,perform activities long thought to be the sole purview of humans,artificial intelligence,1152,faster decision making smart cities ,0.9950924
135,digital america : a tale of the haves and have - mores,digital,digital america,135,data modeling black box ,0.9947666
596,redesigning processes,developing,redesigning processes,596,data modeling black box ,0.9947666
994,wellness programs and incentives,wellness,wellness,994,up to year increase in health and life expectancy ,0.99443245
953,right,right setting for value,right setting for value,953,industry preconditions ,0.99360234
929,mc,analysis,analysis,929,growth from macroeconomy and urbanization ,0.9931415
215,▪,decision making,speed of decision making,215,business models enabled by orthogonal data ,0.9920693
836,ride sharing,mobility services,dynamic pricing adjustments,836,business models enabled by orthogonal data ,0.9920693
1863,marketing / product mix,identify high - value providers and target marketing / product mix,identify high - value providers and target marketing / product mix,1863,predictive maintenance ,0.99068105
1709,predictive analytics,predictive analytics,predictive analytics,1709,predictive maintenance ,0.990681
2009,impact,d,summarize the impact,2009,predictive maintenance ,0.990681
268,classification,classification,classification,268,predictive maintenance ,0.990681
1777,individual plot characteristics and relevant real - time data,use cases,growing techniques,1777,predictive maintenance ,0.990681
1899,government provided goods and services,optimize pricing,optimize pricing,1899,predictive maintenance ,0.990681
1844,evaluate doctor performance and provide outcome - improving feedback,evaluate doctor performance and provide outcome - improving feedback,evaluate doctor performance and provide outcome - improving feedback,1844,predictive maintenance ,0.990681
1802,"mining , drilling , power generation , and moving equipment",proactive maintenance,predict failure and recommend proactive maintenance,1802,predictive maintenance ,0.990681
2062,data storage space ? ” world economic forum,data storage,running out of data storage space,2062,predictive maintenance ,0.990681
1909,personalization,radical personalization,radical personalization,1909,predictive maintenance ,0.990681
1250,manufacturing,predictive maintenance,predictive maintenance,1250,predictive maintenance ,0.990681
1760,predictive maintenance,predictive maintenance,predictive maintenance,1760,predictive maintenance ,0.990681
687,dave and les jacobs / getty images,what kind of application ? [SEP],getty images,687,projected demand for business translators over the next decade ,0.9892945
839,cars,economist,utilization rates of cars,839, smart cities and infrastructure ,0.98898077
218,accuracy of prediction,accuracy of prediction,accuracy of prediction,218, smart cities and infrastructure ,0.98898077
1610,i,what kind of application ? [SEP],i,1610, sensor data driven ,0.98803216
768,search page and a monthly data plan,google maps,accuracy of google maps,768,aggregation easier ,0.98674583
1568,united states and the united kingdom,hospital expenditures only,to size the percentage of total hospital care that could be avoided,1568, of government operating expenditure net of transfer payment ,0.98610115
522,smartphones,smartphones,benefits these services create,522, up to lower product development cost ,0.9856906
105,€,productivity,productivity growth,105, up to lower product development cost ,0.9856906
405,"organizing , planning , and prioritizing work","organizing , planning , and prioritizing work","organizing , planning , and prioritizing work",405,business operations specialists all other ,0.98364174
1441,optimization,optimization,optimization,1441,business operations specialists all other ,0.98364174
545,"siemens , ge , and schneider electric",servicing offers,designing new facilities,545, research data ,0.9834063
1515,impact,impact,impact potential,1515,services data selling ,0.9822782
1032,comments,comments,comments,1032,increase in life expectancy years global ,0.9816375
1095,data and analytics,data and analytics,overcome human limitations in decision making,1095,underwriting ,0.981573
1089,sequence and analyze patient samples,sequence and analyze patient samples,sequence and analyze patient samples,1089,data and analytics ,0.980146
601,managing change and tracking adoption,managing change and tracking adoption with performance indicators,managing change and tracking adoption with performance indicators,601,workflow integration ,0.97975427
140,use cases / sources of value,use cases,use cases / sources of value,140,workflow integration ,0.97975427
1517,market,time to market,time to market,1517, location based ,0.97954834
764,analytics,analytics,"demand for data is driven by the expected value associated with their ultimate use . in many cases , organizations are still learning what to do with all the data that is suddenly available . but as analytics tools improve , so do the odds that at least some value can be extracted from any given data set",764,factors driving value down ,0.9794584
1534,cost,cost,cost,1534,average value realized by adopters ,0.9793501
1523,assembly,assembly,assembly costs + 2 revenue,1523,average value realized by adopters ,0.9793501
220,business,real - time matching,real - time matching,220,massive data integration capabilities ,0.97880465
841,taxi industry,mobility,"incorporates autonomous vehicles into these services , thereby reducing their operating costs",841,massive data integration capabilities ,0.97880465
762,business analysts,calorie - tracking app,more users consuming data than ever before,762, close relationship to actual ,0.9782874
1903,mc,analysis,analysis,1903,resource allocation ,0.9780914
1930,exhibit,exhibit,exhibit,1930,resource allocation ,0.9780914
1816,aggregate pricing and promotional targeting,optimize aggregate pricing and promotional targeting,optimize aggregate pricing and promotional targeting to energy customers,1816,resource allocation ,0.9780914
1920,media content,"identify relevant features ( e . g . , copyright infringement , audience suitability ) in media content",identify relevant features,1920,resource allocation ,0.9780914
1871,pricing,pricing,optimize pricing strategy,1871,resource allocation ,0.9780914
1944,"fixed ( substations , poles ) and moving equipment",predict failure and recommend proactive maintenance,predict failure and recommend proactive maintenance,1944,resource allocation ,0.9780914
1875,data richness,data richness,data richness,1875,resource allocation ,0.9780914
1914,"mobile , social media , past productions",mobile,predict viewership for new content,1914,resource allocation ,0.9780914
2011,bibliography,bibliography,bibliography,2011,resource allocation ,0.9780914
2070,government and business,mobile internet,reshape the world in which we live and work,2070,resource allocation ,0.9780914
263,use cases,use cases,use cases,263,resource allocation ,0.9780914
2054,corporate profits,global competition for corporate profits,corporate profits,2054,resource allocation ,0.9780914
1995,greet customers,greet customers,greet customers,1995,resource allocation ,0.9780914
2040,l,l,what is main idea ? [SEP],2040,resource allocation ,0.9780914
2003,opt,logical reasoning / problem - solving,creativity,2003,resource allocation ,0.9780914
1975,individual customers,predict lifetime value and risk of churn for individual customers,predict lifetime value and risk of churn for individual customers,1975,resource allocation ,0.9780914
1245,[SEP],real time,what is main idea ? [SEP],1245,resource allocation ,0.9780914
1015,data and analytics,data and analytics,disruption,1015,precision health care could drive better health outcomes improve productivity and quality of life and lower costs ,0.97800434
1252,clinical trials,clinical trials,optimize clinical trials,1252,hyper personalization ,0.9778396
270,conventional,conventional neural networks,neural networks,270,hyper personalization ,0.9778395
1423,location data,location data,location data,1423,most notably improving natural language understanding would enable automation across all activity groups with the greatest impact in basic management and supervisory activities guiding directing and motivating subordinates information gathering and performing administrative activities ,0.9776709
1261,telecom,telecom,predict the lifetime value and risk of churn associated with individual customers,1261,recurrent neural network ,0.97692466
279,graph algorithms,graph algorithms,graph algorithms,279,recurrent neural network ,0.9769246
43,bibliography,bibliography,bibliography,43,radical personalization in health care ,0.97639537
1064,rounding .,rounding,rounding,1064,internal to banks ,0.9742386
927,mass customization,mass customization,mass customization,927,effect of autonomous options ,0.97157776
931,travel and leisure media retail,labor market travel and leisure media retail,labor market,931,effect of autonomous options ,0.97157776
842,exhibit,exhibit,exhibit,842, health care retail ,0.971512
221,transportation and logistics,retail media education,smart cities,221, health care retail ,0.971512
466,"marketing , sales , and product development","marketing , sales , and product development",digitize everything they do,466, ensemble learning ,0.97139055
912,"household chores and errands , data entry , and simple coding projects",digital job boards,platforms can match available workers with requests for their services on demand,912, car data paving the way to value creating mobility mckinsey advanced industries practice march ,0.97136927
442,deep learning,deep learning,deep learning,442, paul taylor crunch time for big data the financial times june ,0.9706946
1707,forecasting,forecasting,forecasting,1707,strategic optimization ,0.9698763
1758,predictive analytics,predictive analytics,predictive analytics,1758,strategic optimization ,0.9698763
738,commercial exchange of data,commercial,commercial exchange of data,738,consumers generate data when they use and make payments on their existing financial products including mortgages credit cards and other lending accounts ,0.96960706
286,signal processing,signal processing,signal processing,286,triaging ,0.9690888
1268,scientists,deep - learning programs,scientists see promise in deep - learning programs,1268,triaging ,0.9690888
465,data and analytics,analytics,increase,465, reinforcement learning ,0.9685389
1554,parking,parking,reduced fuel cost from parking ( cost savings,1554, remote patient ,0.96753484
287,convert,convert unstructured data,convert unstructured data,287,problem types ,0.9671167
1269,deep learning,deep learning,the coming wave,1269,problem types ,0.9671167
679,"health care , where patient information is not always accessible across different emr systems , and in manufacturing","manufacturing , where various plants and suppliers cannot always seamlessly share information . this is a critical enabler : previous mgi research found that 40 percent of all the potential value associated with the internet of things",lack of interoperability,679,includes removing the retirement of ,0.9654957
579,ecosystem,ecosystem,ecosystem,579, healthcare providers unlock value of on demand patient data with sap hana sap press release may ,0.9650514
226,[SEP],what kind of application ? [SEP],repeats,226, human capital talent ,0.96462166
847,new owned car vs . car sharing,car sharing,new owned car vs . car sharing,847, human capital talent ,0.96462166
1543,data,postsecondary education,to calculate new demand for business translators to 2024,1543, statistical tools ,0.9641147
424,"algorithms , business value , and innovation",recommender system,"big data , big bang ? ” journal of big data , volume 3 , number 2 , 2016 . 14 paul taylor , “ crunch time for big data , ” the financial times , june 19 , 2012 . 15 carlos a . gomez - uribe and neil hunt , “ the netflix recommender system : algorithms , business value , and innovation",424, detailed work activity ,0.96098435
1460,- 10,what kind of application ? [SEP],what is main idea ? [SEP],1460, detailed work activity ,0.96098435
744,deliver,to deliver effectively,to deliver effectively,744,factors driving value up ,0.9609465
532,retailers,analytics,incentives for adoption,532, manufacturing levers divided by functional application ,0.96017325
115,different,analytical,lack of analytical talent siloed data,115, manufacturing levers divided by functional application ,0.96017325
1259,banking and cybersecurity,predictive analytics,machine,1259,graph algorithms ,0.9599316
277,discover new trends / anomalies,discover new trends,discover new trends / anomalies,277,graph algorithms ,0.9599316
606,exhibit,exhibit,exhibit,606,change management ,0.9588047
145,data,data,data,145,change management ,0.9588047
826,economy,to shake up specific parts of the economy,to shake up specific parts of the economy,826,multiple sources ,0.9585404
205,exhibit,exhibit,exhibit,205,multiple sources ,0.9585404
174,tech,talent shortage,beyond the talent shortage : how tech candidates search for jobs,174,the leading global unicorns ,0.95834905
1986,activities,activities,activities,1986,mckinsey global institute analysis ,0.95569134
1714,r & d and manufacturing,optimize resource allocation,optimize resource allocation,1714,mckinsey global institute analysis ,0.95569134
324,manufacturing media pharmaceuticals,manufacturing media,manufacturing media pharmaceuticals,324,mckinsey global institute analysis ,0.95569134
1310,opt,logical reasoning / problem - solving,creativity,1310,mckinsey global institute analysis ,0.95569134
1765,"social media , video feeds","predict asset price movements based on greater quantities of data ( e . g . , social media , video feeds ) to inform trading strategies","predict asset price movements based on greater quantities of data ( e . g . , social media , video feeds ) to inform trading strategies",1765,mckinsey global institute analysis ,0.95569134
1420,mobile advertising services,mobile advertising,geo - targeted mobile advertising,1420,mckinsey global institute analysis ,0.95569134
387,"processes , materials , or surroundings",monitoring,monitoring,387,mckinsey global institute analysis ,0.95569134
1133,health and human services,primers,medication - errors,1133,mckinsey global institute analysis ,0.95569134
213,r & d,r & d,r & d,213,mckinsey global institute analysis ,0.95569134
771,data generation and collection,social media,"suppliers will want to go where demand is , and consumers will want to go where suppliers are",771,mckinsey global institute analysis ,0.95569134
1904,impact,impact,impact,1904,mckinsey global institute analysis ,0.95569134
291,classification,classification,classification,291,mckinsey global institute analysis ,0.95569134
1617,e,e,e,1617,mckinsey global institute analysis ,0.95569134
2071,"companies , and individuals",technology,the us economy as a whole is realizing only 18 percent of its digital potential,2071,mckinsey global institute analysis ,0.95569134
1040,government agencies,government agencies,"tax payment report , updated demographic data",1040,mckinsey global institute analysis ,0.95569134
1525,costs,costs,costs,1525,mckinsey global institute analysis ,0.95569134
1078,manufacturing and processing,iot sensors,collecting and analyzing the vast information flows generated by iot sensors,1078,mckinsey global institute analysis ,0.95569134
1273,energy,energy,energy : optimize blend of raw materials in refining or other processes,1273,mckinsey global institute analysis ,0.95569134
1558,developed and developing regions,time value,applying,1558,mckinsey global institute analysis ,0.95569134
2043,medical,medical,medical error : the third leading cause of death in the us,2043,mckinsey global institute analysis ,0.95569134
1576,data and analytics and how much from digital,automating business support functions,improved,1576,mckinsey global institute analysis ,0.95569134
644,tech,tech,tech,644,mckinsey global institute analysis ,0.95569134
834,"transportation , retail",platforms,they could also transform energy markets,834,mckinsey global institute analysis ,0.95569134
902,mobility services,scaling mobility services,scaling mobility services,902,mckinsey global institute analysis ,0.95569134
1233,volume breadth and frequency of data,data,volume breadth and frequency of data,1233,mckinsey global institute analysis ,0.95569134
996,preventive care,preventive care,preventive care,996,mckinsey global institute analysis ,0.95569134
1959,impact,impact,impact,1959,mckinsey global institute analysis ,0.95569134
2016,"big data , big bang","big data , big bang ? ” journal of big data","big data , big bang",2016,mckinsey global institute analysis ,0.95569134
1794,predictive maintenance,predictive maintenance,predictive maintenance,1794,mckinsey global institute analysis ,0.95569134
1385,business operations specialists,business operations,business operations,1385,mckinsey global institute analysis ,0.95569134
1849,predictive analytics,predictive analytics,predictive analytics,1849,mckinsey global institute analysis ,0.95569134
1368,ten occupations,deep learning,improvements in deep learning,1368,mckinsey global institute analysis ,0.95569134
364,optimization and planning,optimization and planning,optimization and planning,364,mckinsey global institute analysis ,0.95569134
957,tangible results,tangible results,tangible results,957,mckinsey global institute analysis ,0.95569134
1876,technical,technical,technical,1876,mckinsey global institute analysis ,0.95569134
1821,predictive analytics,predictive analytics,predictive analytics,1821,mckinsey global institute analysis ,0.95569134
1931,telecom,machine learning,machine learning,1931,mckinsey global institute analysis ,0.95569134
1414,location - based services,location - based services,location - based services,1414,operating vehicles mechanized devices or equipment ,0.95466965
1544,data and analytics,data and analytics,business,1544,and algorithms to improve clinical trial design ,0.95398235
891,"volkswagen with gett , gm with lyft , and fiat with google",google,cross - sector alliances,891,fewer vehicle purchases ,0.9535746
1608,a m r a h p,a,a,1608,forecasting shaping and supply planning ,0.95262796
1611,g,g,g,1611,operations analytics ,0.95262086
1388,cashiers,cashiers,cashiers,1388, michael chui james manyika and mehdi miremadi four fundamentals of workplace automation mckinsey ,0.9512017
1573,companion diagnostics,precision medicine,eliminate treatments that are ineffective for that individual,1573,impact achieved by today’s adopters ,0.9504783
717,captured,captured,initially captured,717,some of the broad categories include behavioral data capturing actions in digital and physical environments transactional data records of business dealings ambient or environmental data conditions in the physical world monitored and captured by sensors reference material or knowledge news stories textbooks reference works literature and the like and public records ,0.94986826
1090,clinical trials,clinical trials,clinical trials,1090,data analytics and digital ,0.9497598
567,data and analytics be used for ? how will the insights drive value ? how will the value be measured ? the second component is building out the underlying data architecture as well as data collection or generation capabilities . many incumbents struggle with switching from legacy data systems to a more nimble and flexible architecture to store and harness big data ; they may also need to complete the process of fully digitizing transactions and processes in order to collect all the data that could be useful . the third element is acquiring the analytics capabilities needed to derive insights from data,analytics capabilities needed to derive insights from data,acquiring the analytics capabilities needed to derive insights from data,567,much of the potential for cost savings efficiency and ,0.94971967
1163,images and video or recognizing text and audio,machine learning can also be used for predictions,tackling classification problems involves making observations about the world,1163, joshua masinde kenya power counts on smart meters to cut costs and deal with tampering daily nation ,0.9492279
993,patients with chronic illnesses,remote monitoring,remote monitoring of patients with chronic illnesses to avoid crises,993, lower national health expenditures ,0.9486849
381,dwas,automated,could be automated,381,natural language understanding ,0.94767344
1379,"interacting with computers to enter data , process information",interacting with computers,"interacting with computers to enter data , process information",1379,natural language understanding ,0.94767344
395,performing administrative activities,administrative,performing administrative activities,395,natural language understanding ,0.94767344
1431,"people tracking , location sharing , social community applications , city / regional guides / services , entertainment",social community applications,"people tracking , location sharing , social community applications , city / regional guides / services , entertainment . 2 derived as share of total mobile advertising",1431,natural language understanding ,0.94767344
1394,customer service,customer service,customer service,1394,natural language understanding ,0.94767344
169,mckinsey analytics ; mckinsey global institute analysis,analysis,analysis,169,outstrips the less than percent increase in nominal average wages across all occupations in us bureau of labor statistics data ,0.94721276
678,health care and the public sector,data aggregators,monetize information,678, fraction per occupation times the bls ep employment per occupation assuming the job market is in equilibrium and supply equals demand ,0.9471148
1895,"military , infrastructure",recommend proactive maintenance,"predict risk of failure for physical assets ( e . g . , military , infrastructure ) and recommend proactive maintenance",1895,forecasting ,0.9463617
278,con,convolutional neural network,convolutional neural network,278,forecasting ,0.9463617
2005,"retail worker only , we analyzed some 2 , 000 activities across all occupations","retail worker only , we analyzed some 2 , 000 activities across all occupations",activities performed by a retail worker,2005,forecasting ,0.9463617
1922,"internal and external data ( press releases , etc . ) for b2b customers","identify high - value leads by combining internal and external data ( press releases , etc . ) for b2b customers","identify high - value leads by combining internal and external data ( press releases , etc . ) for b2b customers",1922,forecasting ,0.9463617
1869,product demand and relevant health trends,predict hyperregional product demand and relevant health trends,predict hyperregional product demand and relevant health trends,1869,forecasting ,0.9463617
2066,[SEP],what kind of application ? [SEP],what is main idea ? [SEP],2066,forecasting ,0.9463617
1712,production,detect defects and quality issues during production using visual and other data,detect defects and quality issues,1712,forecasting ,0.9463617
1983,exhibit,exhibit,exhibit,1983,forecasting ,0.9463617
1793,farming and production equipment,proactive maintenance,predict failure and recommend proactive maintenance,1793,forecasting ,0.9463617
1926,release dates and regional targeting,optimize release dates and regional targeting for film rollouts,optimize release dates and regional targeting for film rollouts,1926,forecasting ,0.9463617
1763,maintenance,proactive maintenance strategies,predict risk of loan delinquency and recommend proactive maintenance strategies,1763,forecasting ,0.9463617
1948,voice / data / other traffic,predict regional demand trends,predict regional demand trends,1948,forecasting ,0.9463617
1785,"crops , weather / soil trends , and other data",predict new high - value crop strains,predict new high - value crop strains,1785,forecasting ,0.9463617
1889,defense,"procurement strategy to reduce costs for large government agencies ( e . g . , defense",optimize procurement strategy to reduce costs,1889,forecasting ,0.9463617
1836,clinical and operations,clinical,"identify fraud , waste , and abuse patterns",1836,forecasting ,0.9463617
1806,cost and human error,replicate human - made decisions in control room environments,replicate human - made decisions in control room environments to reduce cost and human error,1806,forecasting ,0.9463616
1260,health care,predictive analytics,diagnose diseases,1260,forecasting ,0.9463616
1184,business,machine learning can be combined with other types of analytics,solve a large swath of business problems,1184,a labor market that works connecting talent with opportunity in the digital age mckinsey global institute ,0.9456957
1070,banking,advanced analytics,adding,1070, e g atms mobile apps ,0.94561005
1613,i,what kind of application ? [SEP],i,1613, operating costs up to revenue ,0.94546133
107,$,productivity,productivity growth,107, lack of analytical talent ,0.944663
524,analytics,analytics,analytics,524, lack of analytical talent ,0.944663
1547,mckinsey advanced industries,automotive,automotive revolution,1547,disease patterns ,0.9438802
1062,[SEP],total,total,1062,utilities customer payment record ,0.9432545
724,mapping value in data ecosystems,mapping,mapping value in data ecosystems,724,on the revenue side insights from data can be used to enter new markets micro target customer segments improve product features and make distribution channels more effective ,0.9432293
928,individual demands,possibility of meeting individual demands,possibility of meeting individual demands,928,future mobility service mileage ,0.9429841
1638,[SEP],what kind of application ? [SEP],what is main idea ? [SEP],1638, fewer vehicle purchases cost savings ,0.94289327
1537,"data science , machine learning , data mining",data mining,"machine learning , data mining",1537,clinical operations ,0.94281685
259,cluster,clustering,clustering,259,other analytics not exhaustive ,0.9427647
1241,identify,identify,identify,1241,other analytics not exhaustive ,0.9427647
131,tax,analytics,use data and analytics to make government services more efficient,131,europe pushing the frontier capturing the benefits mckinsey global institute june ,0.94264954
494,data and analytics,data and analytics,capturing value,494,europe pushing the frontier capturing the benefits mckinsey global institute june ,0.94264954
50,capabilities not only to improve their core operations but to launch entirely new business models,digital platforms,to improve their core operations but to launch entirely new business models,50,the age of analytics competing in a data driven world ,0.9423974
40,machine learning and the automation of work activities,machine learning,machine learning,40,the demand for talent ,0.94203305
1510,lean manufacturing,lean manufacturing,lean manufacturing,1510, improved inventory management ,0.9419513
1082,processes and products,discover patterns in huge amounts of diverse data and to generate hypotheses,"innovation innovation is one of the components of productivity growth . it can be applied to both processes and products . process innovation enables an organization to put its resources to the most efficient use , while product innovation is about developing new products or a better customer experience . throughout history , innovative ideas have sprung from human ingenuity and creativity",1082,government agencies e g tax payment report updated demographic data ,0.93980205
1033,basic demography,basic demography,basic demography,1033, high income countries ,0.93875694
1174,generation,generation,generation,1174,system committee on quality of health care in america institute of medicine national academy press ,0.9380219
1374,d,automated,% of time spent on activities that could be automated if dl improves,1374,where required share of dwas where current level is inadequate ,0.9374226
376,categories,generating novel patterns / categories,generating novel patterns / categories,376,where required share of dwas where current level is inadequate ,0.9374226
209,supply / demand,supply / demand,supply / demand mismatch,209, speed of decision making limited by ,0.93442446
830,data and analytics,data and analytics,disruption,830, speed of decision making limited by ,0.93442446
1021,data,data,data,1021,preventive care ,0.9342865
1508,forecasting / shaping and supply planning,forecasting / shaping and supply planning,forecasting / shaping and supply planning,1508,assortment optimization placement optimization ,0.9333627
397,"guiding , directing , and motivating subordinates","guiding , directing , and motivating subordinates","guiding , directing , and motivating subordinates",397,social and emotional sensing ,0.932887
1396,"helpers , laborers , and material movers",first - line supervisors,"first - line supervisors of helpers , laborers , and material movers",1396,social and emotional sensing ,0.932887
1381,"processes , materials , or surroundings",monitoring,monitoring,1381,social and emotional sensing ,0.932887
383,hourly,hourly,hourly wage,383,social and emotional sensing ,0.932887
1433,big data,big data,future of decision making,1433,social and emotional sensing ,0.932887
914,businesses,platforms,"productivity benefits for businesses , while creating a new avenue for individuals who need work to generate income",914,brad greenwood and sunil wattal show me the way to go home an empirical investigation of ride sharing ,0.93212163
385,"interacting with computers to enter data , process information",interacting with computers,"interacting with computers to enter data , process information",385,optimization and planning ,0.93093246
1383,occupations,occupations,occupations,1383,optimization and planning ,0.9309324
1493,impact,adopters,impact,1493,source research gnss market report marketsandmarkets ovum statista mckinsey global institute analysis ,0.93072987
1251,diagnose diseases,diagnose diseases,diagnose diseases,1251,conventional neural networks ,0.9305097
269,support vector machines,support vector machines,support vector machines,269,conventional neural networks ,0.9305097
77,percent,work activities,percent of work activities,77,percent of work activities that require ,0.9300426
266,search algorithms,search algorithms,search algorithms,266,predictive analytics ,0.92932355
2068,"innovation , competition , and productivity","big data : the next frontier for innovation , competition , and productivity ( may 2011 ) big data will become a key basis of competition",big data will become a key basis of competition,2068,predictive analytics ,0.92932355
2049,haves and have - mores,digital,digital america,2049,predictive analytics ,0.92932355
1916,customer,multimodal,predict risk of individual customer churn based on multimodal data,1916,predictive analytics ,0.92932355
2058,fa,folding,folding,2058,predictive analytics ,0.92932355
1759,customers / clients,renegotiation strategy,predict risk of churn for individual customers / clients and recommend renegotiation strategy,1759,predictive analytics ,0.92932355
1874,impact,impact,impact,1874,predictive analytics ,0.92932355
1846,detect major trauma events from wearables sensor data and signal emergency response,emergency response,detect major trauma events from wearables sensor data and signal emergency response,1846,predictive analytics ,0.92932355
1808,power plants,optimize energy scheduling / dispatch,optimize energy scheduling / dispatch of power plants,1808,predictive analytics ,0.92932355
1958,price and product optimization,use case type price and product optimization,price and product optimization,1958,predictive analytics ,0.92932355
1820,individual customers,predict lifetime value and risk of churn for individual customers,predict lifetime value and risk of churn for individual customers,1820,predictive analytics ,0.92932355
1248,merchandising,merchandising,optimize merchandising strategy,1248,predictive analytics ,0.92932355
1970,radical personalization,radical personalization,radical personalization,1970,predictive analytics ,0.92932355
1971,sales / demand,predict hyperregional sales / demand trends,predict hyperregional sales / demand trends,1971,predictive analytics ,0.92932355
1950,financial planning and other costly back - office functions,replicate financial planning,replicate financial planning and other costly back - office functions,1950,predictive analytics ,0.92932355
1937,resource allocation,resource allocation,resource allocation,1937,predictive analytics ,0.92932355
1708,identify design problems in pre - production,"identify design problems in pre - production to reduce ramp - up time to maximum output ( i . e . , yield ramp",identify design problems in pre - production to reduce ramp - up time to maximum output,1708,predictive analytics ,0.92932355
1997,clean and maintain work areas,clean and maintain work areas,clean and maintain work areas,1997,predictive analytics ,0.92932355
2001,cognitive ▪ understanding natural language ▪ generating natural language ▪ retrieving information,cognitive,understanding natural language,2001,predictive analytics ,0.92932355
2030,digital,digital,the digital universe,2030,predictive analytics ,0.92932355
1861,drug development,optimize resource allocation,optimize resource allocation,1861,predictive analytics ,0.92932355
1867,label,alternative,"discover new alternative applications for developed drugs ( i . e . , label expansion",1867,predictive analytics ,0.92932355
1954,mc,analysis,analysis,1954,predictive analytics ,0.92932355
2032,ride sharing and alcohol,"empirical investigation of ride sharing and alcohol related motor vehicle homicide , temple university , fox school of business research",ride sharing and alcohol related motor vehicle homicide,2032,predictive analytics ,0.92932355
1928,mc,analysis,analysis,1928,predictive analytics ,0.92932355
2015,digital,digital,the digital utility,2015,predictive analytics ,0.9293235
646,artificial intelligence,artificial intelligence,advancing artificial intelligence,646,high tech and telecom retail ,0.92893827
348,[SEP],what kind of application ? [SEP],repeats,348,lower priority ,0.9277304
1294,capability,capability requirements,capability requirements,1294,lower priority ,0.9277304
749,supply,open access,expansion of open access will increase supply,749,data analysis ,0.92729366
1591,l,l,what is main idea ? [SEP],1591, time to market ,0.9271846
1034,transactions,mobile,transactions,1034, middle and low income countries ,0.92622316
261,other analytics,other analytics,analytics,261,clustering ,0.9259423
1243,crops,personalize crops to individual conditions,personalize crops to individual conditions,1243,clustering ,0.9259423
760,october,october,october,760, talent shortage deep sector expertise needed ,0.9250808
1309,categories,supervised learning,categories,1309,impact score ,0.9246633
363,categories,recognizing,recognizing known patterns / categories,363,impact score ,0.9246633
1060,virtual training,virtual training,virtual training new customer channels digital distribution channels cloud - based architecture,1060,call center customer notes ,0.92450845
705,data,data,data,705, dave and les jacobs getty images ,0.9244424
1574,"life , business , and the global economy",disruptive technologies,"advances that will transform life , business , and the global economy",1574,impact potential on baseline ,0.9235319
